class_name,image_type,parent_id,filename,assigned_split,status_reason,relative_output_path
FreshFish,Raw,a_salmon_fresh_17,a_salmon_fresh_17.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_17.png
FreshFish,Raw,a_salmon_fresh_16,a_salmon_fresh_16.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_16.png
FreshFish,Raw,a_salmon_fresh_03,a_salmon_fresh_03.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_03.png
FreshFish,Raw,a_salmon_fresh_15,a_salmon_fresh_15.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_15.png
FreshFish,Raw,a_salmon_fresh_06,a_salmon_fresh_06.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_06.png
FreshFish,Raw,a_salmon_fresh_14,a_salmon_fresh_14.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_14.png
FreshFish,Raw,a_salmon_fresh_19,a_salmon_fresh_19.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_19.png
FreshFish,Raw,a_salmon_fresh_13,a_salmon_fresh_13.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_13.png
FreshFish,Raw,a_salmon_fresh_24,a_salmon_fresh_24.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_24.png
FreshFish,Raw,a_salmon_fresh_07,a_salmon_fresh_07.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_07.png
FreshFish,Raw,a_salmon_fresh_10,a_salmon_fresh_10.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_10.png
FreshFish,Raw,a_salmon_fresh_02,a_salmon_fresh_02.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_02.png
FreshFish,Raw,a_salmon_fresh_21,a_salmon_fresh_21.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_21.png
FreshFish,Raw,a_salmon_fresh_12,a_salmon_fresh_12.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_12.png
FreshFish,Raw,a_salmon_fresh_11,a_salmon_fresh_11.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_11.png
FreshFish,Raw,a_salmon_fresh_23,a_salmon_fresh_23.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_23.png
FreshFish,Raw,a_salmon_fresh_05,a_salmon_fresh_05.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_05.png
FreshFish,Raw,a_salmon_fresh_20,a_salmon_fresh_20.png,train,Included in Train (Raw Split),train\FreshFish\a_salmon_fresh_20.png
FreshFish,Raw,a_salmon_fresh_08,a_salmon_fresh_08.png,test,Included in Test (Raw Split),test\FreshFish\a_salmon_fresh_08.png
FreshFish,Raw,a_salmon_fresh_09,a_salmon_fresh_09.png,test,Included in Test (Raw Split),test\FreshFish\a_salmon_fresh_09.png
FreshFish,Raw,a_salmon_fresh_01,a_salmon_fresh_01.png,test,Included in Test (Raw Split),test\FreshFish\a_salmon_fresh_01.png
FreshFish,Raw,a_salmon_fresh_04,a_salmon_fresh_04.png,test,Included in Test (Raw Split),test\FreshFish\a_salmon_fresh_04.png
FreshFish,Raw,a_salmon_fresh_22,a_salmon_fresh_22.png,test,Included in Test (Raw Split),test\FreshFish\a_salmon_fresh_22.png
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__brightness_reduction__factor_0p6.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__contrast_reduction__factor_0p7.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__gaussian_blur__sigma_2p2.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__gaussian_noise__var_0p02.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__mirror__axis_x.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__mirror__axis_y.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__motion_blur__kernel_11__angle_45deg.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__motion_blur__kernel_7__angle_0deg.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__motion_blur__kernel_9__angle_90deg.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__rotation__angle_-10deg.jpg,ignored,Ignored (Parent in Test),None
FreshFish,Augmented,a_salmon_fresh_01,a_salmon_fresh_01__rotation__angle_10deg.jpg,ignored,Ignored (Parent in Test),None
